text,labels
"Question: Does the smartphone with 128GB storage AND 6.5-inch display from 2024, as shown in the row and image, meet the query? Answer: Match Score: 100 All required attributes match perfectly.",0
"Question: Is the laptop with 16GB RAM AND 512GB SSD from the document and row a good match? Answer: The product meets the RAM requirement but falls short on storage, Match Score: 50",1
"Question: Does the fashion item, either from the image or the document, display a modern design? Answer: Match Score: 100 The design is modern as per the image, satisfying at least one condition.",0
"Question: Is the vintage car with hybrid engine and autonomous driving, as per the row and document, a match? Answer: No attributes match the query criteria, Match Score: 0",2
"Question: Can the smartwatch featuring a heart rate monitor AND GPS, as depicted in the row and image, be considered ideal? Answer: The device shows strong features for health and navigation, I'd give it a match score of 100",0
"Question: Does the dress with floral patterns AND a price below $100, evaluated from the row and document, align with the query? Answer: While the design matches, the price condition is only partially met, Match Score: 70",1
"Question: Is the organic snack with less than 200 calories per serving from the row or the image a suitable match? Answer: The product meets the calorie condition perfectly, Therefore, the match score is 100",0
"Question: Does the washing machine with a 10kg capacity AND energy efficiency rating A++ in the document and row fulfill the query? Answer: Match Score: 100 The product completely meets the energy and capacity requirements.",0
"Question: Does the electric car featuring a 300-mile range AND fast charging capability, as seen in the document and image, satisfy the criteria? Answer: The car performs well in range but only moderately meets fast charging, Match Score: 80",1
"Question: Is the hotel with a 5-star rating OR beachfront access, based on the document and image, an ideal recommendation? Answer: The hotel clearly provides beachfront access, I'd give it a match score of 100",0
"Question: Does the tablet featuring a 10-inch display AND long battery life, as referenced in the row and document, meet the expectations? Answer: The display is excellent while the battery performance is lacking, Match Score: 50",1
"Question: Does the truck with 5000 lbs towing capacity AND a diesel engine, evaluated from the row and image, satisfy the requirements? Answer: Match Score: 100 All specified features align with the query perfectly.",0
"Question: Is the beverage containing natural ingredients AND less than 5g sugar, based on the row and document, a match? Answer: The ingredients match, but sugar content is slightly over the limit, Match Score: 60",1
"Question: Do the sneakers with high durability AND modern style, as shown in the image and row, meet the product criteria? Answer: The style is modern, but durability evidence is unclear, Therefore, the match score is 50",1
"Question: Does the refrigerator with a 500-liter capacity AND an energy star rating, as per the document and row, fulfill the requirements? Answer: Match Score: 100 The appliance meets both capacity and energy efficiency criteria perfectly.",0
"Question: Is the flight departing at 8 AM AND including in-flight WiFi, as referenced in the row and document, a perfect match? Answer: The departure time aligns, but the WiFi service is missing details, Match Score: 40",1
"Question: Does the camera featuring 4K video recording AND advanced image stabilization, as per the image and row, match the query? Answer: The video capability is excellent, but stabilization is not confirmed, Match Score: 50",1
"Question: Is the motorcycle with ABS brakes OR high fuel efficiency, based on the document and image, an ideal match? Answer: The motorcycle boasts high fuel efficiency, ensuring the criteria is met, I'd give it a match score of 100",0
"Question: Does the watch featuring water resistance AND a genuine leather strap, as shown in the row and document, meet the criteria? Answer: Match Score: 100 Both features are clearly present and match the requirements.",0
"Question: Is the gluten-free bread with an artisanal recipe, derived from the row and document, a match? Answer: The recipe is authentic but lacks full gluten-free verification, Match Score: 70",1
"Question: Does the high-end gaming monitor with 144Hz refresh rate and 4K resolution, as seen in the document and image, fulfill the query? Answer: Match Score: 100 All features are perfectly matched.",0  
"Question: Is the budget smartphone with 64GB storage OR dual camera system, based on the row or image, a perfect match? Answer: The smartphone includes the dual camera, therefore, Match Score: 100",0  
"Question: Can the electric kettle featuring 1.7L capacity AND rapid boil technology, as evaluated from the document and row, meet the requirements? Answer: The capacity meets the criteria but rapid boil performance is subpar, Match Score: 50",1  
"Question: Does the compact SUV with all-wheel drive AND a price below $30,000, from the document and image, satisfy the criteria? Answer: I'd give it a match score of 70 because only the price condition is fully met.",1  
"Question: Is the smart home thermostat with WiFi connectivity AND energy-saving features, shown in the row and document, the ideal match? Answer: Match Score: 100 Both connectivity and efficiency match exactly.",0  
"Question: Does the artisan coffee maker with programmable settings OR built-in grinder, as referenced in the image or row, meet the query? Answer: The built-in grinder is present, Match Score: 100",0  
"Question: Is the fitness tracker with heart rate monitoring AND sleep tracking, as seen in the document and image, a match? Answer: The device offers heart rate monitoring, but sleep tracking is missing, Match Score: 50",1  
"Question: Does the noise-cancelling headphone with 30-hour battery life AND Bluetooth 5.0, from the document and row, align with the query? Answer: Both features are verified, Therefore, the match score is 100",0  
"Question: Can the eco-friendly water bottle with BPA-free material AND a leak-proof design, as per the row and image, fulfill the criteria? Answer: The bottle is BPA-free but not confirmed as leak-proof, Match Score: 60",1  
"Question: Is the 4K action camera with waterproof casing AND image stabilization, evaluated from the document and row, a match? Answer: Match Score: 100 All attributes align with the query.",0  
"Question: Does the gourmet chocolate set with organic ingredients AND fair-trade certification, as seen in the row and document, satisfy the requirements? Answer: The product meets organic criteria, but fair-trade is questionable, I'd give it a match score of 60",1  
"Question: Is the ergonomic office chair with adjustable height AND lumbar support, as referenced in the document and image, suitable for purchase? Answer: The chair offers excellent lumbar support, but height adjustability is limited, Match Score: 50",1  
"Question: Does the family SUV with seating for 7 AND a safety rating of 5 stars, based on the row and document, match the query? Answer: Match Score: 100 The vehicle meets all family safety and capacity requirements.",0  
"Question: Can the wireless earbud with noise reduction AND touch controls, from the image and document, be recommended? Answer: Noise reduction is excellent, but touch controls are unreliable, Match Score: 40",1  
"Question: Is the smart refrigerator with a touchscreen display OR dual cooling zones, as seen in the row or document, a perfect match? Answer: The dual cooling zones are present, therefore, Match Score: 100",0  
"Question: Does the digital DSLR camera with a 24MP sensor AND 4K video recording, as per the document and image, fulfill the requirements? Answer: The sensor is perfect while video recording is average, Match Score: 70",1  
"Question: Is the luxury watch with sapphire crystal AND automatic movement, as evaluated from the row and document, an exact match? Answer: Match Score: 100 Both high-end features are confirmed.",0  
"Question: Does the multi-tool with stainless steel construction AND ergonomic design, referenced in the document and image, meet the criteria? Answer: The construction meets standards but design is not fully ergonomic, I'd give it a match score of 50",1  
"Question: Can the gluten-free cereal with no added sugars, based on the row and document, be considered a match? Answer: No attributes match the specified gluten-free criteria accurately, Match Score: 0",2  
"Question: Is the travel backpack with water-resistant fabric AND multiple compartments, as shown in the image and row, a good match? Answer: Match Score: 100 All the features requested are present and fully functional.",0
"Question: Does the 2025 flagship smartphone with 256GB storage AND a 6.7-inch display, as seen in the row and image, meet the specifications? Answer: Match Score: 100 All required features are perfectly aligned.",0
"Question: Is the mid-range laptop with 8GB RAM OR a dedicated graphics card, based on the row or document, a good match? Answer: The laptop includes a dedicated graphics card, Match Score: 100",0
"Question: Can the smartwatch featuring GPS AND heart rate monitoring, as depicted in the image and row, be recommended for fitness tracking? Answer: It meets GPS but the heart rate sensor is less accurate, Match Score: 50",1
"Question: Does the digital camera with 20MP resolution AND 4K video recording, found in the document and image, meet the criteria? Answer: The camera meets the resolution requirement but 4K video is subpar, I'd give it a match score of 70",1
"Question: Is the electric vehicle with a 300-mile range AND autonomous driving features, as detailed in the row and document, fully compliant? Answer: Match Score: 100 The car fulfills both conditions flawlessly.",0
"Question: Does the luxury watch with a stainless steel case OR sapphire crystal, as indicated in the row or image, match the query? Answer: The watch includes a sapphire crystal, Therefore, the match score is 100",0
"Question: Can the 4K television with HDR support AND a refresh rate of 120Hz, based on the document and row, be considered a perfect match? Answer: The television has HDR but only a 60Hz refresh rate, Match Score: 50",1
"Question: Is the fitness tracker with step counting OR sleep monitoring, shown in the row or document, suitable? Answer: It includes sleep monitoring, Match Score: 100",0
"Question: Does the gaming console with VR capability AND 8K support, as referenced in the row and image, meet the necessary specifications? Answer: VR capability is available, but 8K support is missing, I'd give it a match score of 50",1
"Question: Can the wireless earbuds with noise cancellation AND 24-hour battery life, as seen in the document and row, be recommended? Answer: Match Score: 100 Both attributes are exactly as required.",0
"Question: Does the home security camera with night vision AND motion detection, as per the document and image, fulfill the conditions? Answer: Night vision is effective but motion detection is unreliable, Match Score: 40",1
"Question: Is the blender with a 1.5L capacity OR multiple speed settings, shown in the row or document, a match? Answer: It offers multiple speeds, Match Score: 100",0
"Question: Does the smartwatch with an AMOLED display AND fitness tracking features, as seen in the image and row, satisfy the query? Answer: The display is excellent but fitness tracking is only moderately accurate, Match Score: 70",1
"Question: Can the electric scooter with a 25-mile range AND a top speed of 20 mph, as per the row and document, be considered a match? Answer: Match Score: 100 The scooter meets all performance benchmarks.",0
"Question: Is the gourmet coffee machine with customizable brew strength AND temperature control, based on the document and image, ideal? Answer: Brew strength is customizable; however, temperature control is not precise, Match Score: 60",1
"Question: Does the organic skincare cream with natural ingredients AND a hypoallergenic formula, as shown in the row and document, fully meet the criteria? Answer: Match Score: 100 The product meets all organic and hypoallergenic requirements.",0
"Question: Is the road bike with a carbon frame AND 21-speed gear, referenced in the row and document, a perfect match? Answer: The bike has a carbon frame but only 18 speeds, I'd give it a match score of 50",1
"Question: Does the smart thermostat with WiFi connectivity OR energy-saving mode, as depicted in the document or row, meet the user's query? Answer: It supports energy-saving mode, therefore, the match score is 100",0
"Question: Can the portable charger with 10,000mAh capacity AND fast charging, as shown in the image and row, be recommended? Answer: Match Score: 100 The charger perfectly meets the capacity and speed criteria.",0
"Question: Does the DSLR camera with interchangeable lenses AND optical zoom, based on the row and document, meet the specifications? Answer: The camera supports interchangeable lenses but optical zoom is limited, Match Score: 50",1
"Question: Is the electric guitar with built-in effects OR high-quality pickups, as per the row or document, a match? Answer: The guitar features high-quality pickups, Match Score: 100",0
"Question: Does the smart refrigerator with energy-efficient cooling AND a touchscreen interface, referenced in the document and image, match the query? Answer: Match Score: 100 The refrigerator meets all specified features perfectly.",0
"Question: Can the eco-friendly mattress with natural latex AND cooling gel, as seen in the row and document, be considered ideal? Answer: The mattress includes natural latex but the cooling gel is minimal, I'd give it a match score of 60",1
"Question: Is the car stereo with Bluetooth connectivity AND smartphone integration, based on the row and document, fully compliant? Answer: Bluetooth works well; however, smartphone integration is partially supported, Match Score: 70",1
"Question: Does the high-performance treadmill with incline adjustment AND heart rate monitoring, as depicted in the document and image, meet the fitness criteria? Answer: Match Score: 100 Both features align perfectly with the requirements.",0
"Question: Is the luxury handbag with genuine leather AND gold-tone hardware, as referenced in the row and document, a match? Answer: Genuine leather is confirmed, but gold-tone hardware is missing, Match Score: 50",1
"Question: Can the noise-cancelling headphones with ambient mode OR long battery life, as seen in the image or document, be recommended? Answer: Ambient mode is available, therefore, Match Score: 100",0
"Question: Does the smartwatch with fitness tracking AND mobile payment features, based on the document and row, satisfy the conditions? Answer: Fitness tracking is robust, while mobile payments are not supported, I'd give it a match score of 50",1
"Question: Is the portable speaker with waterproof design AND 360-degree sound, as shown in the row and document, a perfect match? Answer: Match Score: 100 Both the design and sound quality meet the criteria exactly.",0
"Question: Does the multi-cooker with pressure cooking AND slow cooking functions, as indicated in the document and image, meet the query? Answer: The cooker excels at pressure cooking but slow cooking is average, Match Score: 60",1
"Question: Can the travel luggage with 360-degree wheels OR a TSA-approved lock, from the row or document, be considered a match? Answer: It features a TSA-approved lock, therefore, the match score is 100",0
"Question: Does the gaming keyboard with mechanical switches AND customizable RGB lighting, as referenced in the document and row, meet the criteria? Answer: Match Score: 100 Both features are fully compatible with the gaming setup.",0
"Question: Is the fitness app integrating step count AND calorie tracking, as shown in the document and row, suitable for health monitoring? Answer: Step count is accurate, but calorie tracking is inconsistent, I'd give it a match score of 50",1
"Question: Does the electric scooter with a foldable design AND a 20-mile range, as depicted in the image and row, fulfill the requirements? Answer: The foldable design is excellent, while range is slightly below expectations, Match Score: 60",1
"Question: Can the advanced drone with 4K video recording OR obstacle avoidance, based on the document or row, be recommended? Answer: The drone features obstacle avoidance, Match Score: 100",0
"Question: Is the organic wine with a vintage of 2018 AND low sulfite content, as seen in the row and document, a match? Answer: Match Score: 100 The wine's attributes perfectly match the query.",0
"Question: Does the children's toy with interactive features AND safe, non-toxic materials, as referenced in the document and image, meet the safety criteria? Answer: Interactive features are robust but material safety is unverified, I'd give it a match score of 50",1
"Question: Is the professional microphone with noise suppression OR high sensitivity, as per the row or document, fully compliant with studio needs? Answer: High sensitivity is present, therefore, the match score is 100",0
"Question: Can the electric bike with pedal assist AND a 50-mile range, as depicted in the image and row, be considered an ideal match? Answer: The pedal assist works well, but the range is only moderate, Match Score: 70",1
"Question: Does the home office chair with adjustable armrests AND lumbar support, based on the document and row, meet ergonomic standards? Answer: Match Score: 100 Both ergonomic features are fully present.",0
"Question: Is the smartphone with dual SIM capability AND 5G connectivity, as shown in the row and document, a match for international users? Answer: Dual SIM works flawlessly while 5G is still inconsistent, I'd give it a match score of 70",1
"Question: Does the car with a hybrid engine OR advanced safety features, as per the document or image, meet the customer's needs? Answer: The car offers advanced safety features, therefore, the match score is 100",0
"Question: Can the high-end gaming PC with liquid cooling AND RGB lighting, as depicted in the row and document, be recommended? Answer: Match Score: 100 The system meets all high-performance requirements.",0
"Question: Is the smartwatch with sleep tracking AND voice assistant functionality, based on the document and row, a perfect match? Answer: Sleep tracking is accurate; however, the voice assistant is unreliable, Match Score: 60",1
